public_building_id,SHAP_Projected_Area,SHAP_Height,SHAP_Plot_Ratio,SHAP_Effective_Age,SHAP_Mean_Age_Score,SHAP_Pop_Density,SHAP_Price,SHAP_Fee,SHAP_EUI,base_value
SHB_c1889792419a40cc,-0.010512099,0.34162584,0.072738774,0.0106942365,-0.8328089,-0.9775643,-0.2808071,-0.17049947,-0.021803228,-3.9755917
SHB_351b105b397639a7,0.060863003,-0.16419442,-0.16264598,-0.116874695,-0.05881677,-0.08636705,0.0019285268,0.00818402,-0.3035072,-3.9755917
SHB_9e701aa8f56aea2a,0.81816304,-0.16965868,0.20455265,-0.6505894,-0.090706915,-0.40988943,-0.07145114,-0.018024627,-0.026849436,-3.9755917
SHB_5891f1fb66a97b9e,1.0342721,-0.24492018,0.12739338,-0.0009903162,-0.48579708,0.021626472,-0.2468627,-0.106828205,-0.002207884,-3.9755917
SHB_c20246dd4d15728f,-0.010513635,-0.21733394,-0.28281072,-0.13933933,0.08045337,-0.052688666,-0.3817002,-0.7137432,0.1341458,-3.9755917
SHB_addf59d41358efd9,-1.1133127,0.22931749,-0.25009802,0.19671151,-0.62107366,-0.33230227,-0.6945266,-0.0345329,-0.062593766,-3.9755917
SHB_b0cde7bb277cc48d,-2.0528395,-0.24609742,-0.24899454,-0.054918747,-1.0512439,-0.17681609,-0.13235228,0.25035903,0.09534146,-3.9755917
SHB_3727e32ac189c3ff,0.22388105,-0.19522399,-0.074619256,-0.09473252,0.1194769,-0.15361576,-0.039905574,0.14760576,-0.20505382,-3.9755917
SHB_504efc3bb9b0065f,0.74516904,1.0594878,0.09002316,0.019009694,0.49798924,0.6133413,0.28107184,-0.19310634,0.009723456,-3.9755917
SHB_327d2f9efd25cded,-1.4963132,-0.15677139,-0.16907398,-0.025206788,0.083204426,0.04328016,-0.21337813,-0.15312782,0.11123457,-3.9755917
SHB_7e2d6cb84b2693b1,0.072756186,0.07000106,-0.048411153,-0.2934106,-0.7661309,-0.9092843,-0.45825094,0.05910926,-0.09381563,-3.9755917
SHB_8603f22be285261b,0.50309944,0.602781,0.030298902,0.05417782,0.19968304,0.866381,0.45932782,0.037128963,0.13202478,-3.9755917
SHB_b2226cd59a078b4f,-1.5188516,-0.15420929,0.016756285,0.33196628,-0.7275388,0.26916313,-0.09910273,-0.21879216,0.2905144,-3.9755917
SHB_a879bf50f5ecbcfc,0.16675079,0.022414189,0.011525283,-0.10285272,0.37673065,0.03187213,-0.05471537,0.042158946,0.6502761,-3.9755917
