precision,recall,threshold
0.019581433899709906,0.9895287958115183,0.0003435401595197618
0.019583462853590302,0.9895287958115183,0.00034500149195082486
0.019585492227979274,0.9895287958115183,0.0003455887781456113
0.019587522023007564,0.9895287958115183,0.00034576686448417604
0.01958955223880597,0.9895287958115183,0.0003460405860096216
0.019591582875505338,0.9895287958115183,0.0003462804888840765
0.019593613933236574,0.9895287958115183,0.0003463894536253065
0.019595645412130637,0.9895287958115183,0.0003466851485427469
0.01959767731231854,0.9895287958115183,0.0003468416689429432
0.01959970963393135,0.9895287958115183,0.000347898923791945
0.019601742377100186,0.9895287958115183,0.000348056317307055
0.01960377554195623,0.9895287958115183,0.00034838862484321
0.019605809128630705,0.9895287958115183,0.000349165202351287
0.0196078431372549,0.9895287958115183,0.00034953939029946923
0.01960987756796016,0.9895287958115183,0.0003495702112559229
0.019611912420877866,0.9895287958115183,0.00034966118982993066
0.019613947696139476,0.9895287958115183,0.00035008881241083145
0.01961598339387649,0.9895287958115183,0.0003502605832181871
0.01961801951422047,0.9895287958115183,0.00035060953814536333
0.01962005605730302,0.9895287958115183,0.00035265658516436815
0.019622093023255814,0.9895287958115183,0.00035297611611895263
0.01962413041221057,0.9895287958115183,0.00035322117037139833
0.019626168224299065,0.9895287958115183,0.00035360627225600183
0.01962820645965313,0.9895287958115183,0.00035361890331842005
0.01963024511840465,0.9895287958115183,0.000353705050656572
0.019632284200685572,0.9895287958115183,0.00035411398857831955
0.019634323706627883,0.9895287958115183,0.00035415872116573155
0.019636363636363636,0.9895287958115183,0.0003543224884197116
0.01963840399002494,0.9895287958115183,0.00035443686647340655
0.019640444767743948,0.9895287958115183,0.0003544747014530003
0.01964248596965288,0.9895287958115183,0.0003546369553077966
0.019644527595884004,0.9895287958115183,0.00035475901677273214
0.019646569646569648,0.9895287958115183,0.0003550091932993382
0.01964861212184219,0.9895287958115183,0.00035508282599039376
0.019650655021834062,0.9895287958115183,0.0003559569304343313
0.01965269834667776,0.9895287958115183,0.000356627773726359
0.019654742096505824,0.9895287958115183,0.0003570410772226751
0.019656786271450857,0.9895287958115183,0.0003570788830984384
0.01965883087164552,0.9895287958115183,0.00035730190575122833
0.019660875897222513,0.9895287958115183,0.00035734279663302004
0.019662921348314606,0.9895287958115183,0.0003578533069230616
0.019664967225054626,0.9895287958115183,0.00035869935527443886
0.019667013527575442,0.9895287958115183,0.00035988513263873756
0.01966906025600999,0.9895287958115183,0.0003599743649829179
0.019671107410491256,0.9895287958115183,0.0003608794359024614
0.019673154991152283,0.9895287958115183,0.0003618694026954472
0.01967520299812617,0.9895287958115183,0.00036293105222284794
0.01967725143154607,0.9895287958115183,0.00036351365270093083
0.01967930029154519,0.9895287958115183,0.00036420777905732393
0.019681349578256794,0.9895287958115183,0.00036470513441599905
0.019683399291814205,0.9895287958115183,0.0003649186692200601
0.019685449432350798,0.9895287958115183,0.00036493901279754937
0.0196875,0.9895287958115183,0.00036534108221530914
0.0196895509948953,0.9895287958115183,0.0003667328564915806
0.019691602417170245,0.9895287958115183,0.0003670560254249722
0.019693654266958426,0.9895287958115183,0.00036714773159474134
0.019695706544393496,0.9895287958115183,0.0003676140622701496
0.019697759249609172,0.9895287958115183,0.00036801592796109617
0.019699812382739212,0.9895287958115183,0.0003681792877614498
0.01970186594391744,0.9895287958115183,0.00036866869777441025
0.019703919933277733,0.9895287958115183,0.0003687488497234881
0.01970597435095402,0.9895287958115183,0.00036934978561475873
0.01970802919708029,0.9895287958115183,0.00036963526508770883
0.019710084471790592,0.9895287958115183,0.0003696604399010539
0.019712140175219023,0.9895287958115183,0.00036998128052800894
0.01971419630749974,0.9895287958115183,0.00037035695277154446
0.01971625286876695,0.9895287958115183,0.000370843248674646
