recall,precision
0.997275204359673,0.0011530246419637962
0.997275204359673,0.0011530391718280397
0.997275204359673,0.0011530464368974859
0.997275204359673,0.001153050069466541
0.997275204359673,0.0011530537020584845
0.997275204359673,0.0011530573346733163
0.997275204359673,0.0011530609673110366
0.997275204359673,0.001153071865361532
0.997275204359673,0.0011530754980908094
0.997275204359673,0.0011530827636180335
0.997275204359673,0.0011530900292368183
0.997275204359673,0.0011530936620805464
0.997275204359673,0.0011530972949471655
0.997275204359673,0.0011531081936843697
0.997275204359673,0.0011531118266425542
0.997275204359673,0.0011531154596236307
0.997275204359673,0.0011531227256544603
0.997275204359673,0.0011531481574834905
0.997275204359673,0.001153151790693498
0.997275204359673,0.001153159057182196
0.997275204359673,0.001153162690460887
0.997275204359673,0.001153166323762473
0.997275204359673,0.001153169957086954
0.997275204359673,0.0011531735904343305
0.997275204359673,0.0011531808571977706
0.997275204359673,0.0011531844906138345
